check_id,check_layer,check_name,artifact_scope,applies_to,expected_status,owner,notes
ST-001,source_table,Row totals reconcile,source_table,,pass,,
ST-002,source_table,Column totals reconcile,source_table,,pass,,
ST-003,source_table,Grand total reconciles,source_table,,pass,,
ST-004,source_table,Monetary scaling is explicit,source_table,,pass,,
CT-001,cross_table,Active headcount reconciles to reported total,plan,,pass,,
CT-002,cross_table,Payroll reconciles to reported total,plan,,pass,,
CT-003,cross_table,Retiree count reconciles to reported total,plan,,pass,,
CT-004,cross_table,Benefit payments reconcile to reported totals,plan,,pass,,
CT-005,cross_table,Class totals reconcile to plan total,plan,,pass,,
CT-006,cross_table,AV-versus-ACFR comparison is documented,plan,,pass,,
CT-007,cross_table,Source-year alignment is explicit,plan,,pass,,
CA-001,canonical_artifact,Required columns present,artifact,,pass,,
CA-002,canonical_artifact,Value domains valid,artifact,,pass,,
CA-003,canonical_artifact,Key uniqueness holds,artifact,,pass,,
CA-004,canonical_artifact,No silent missing required cells,artifact,,pass,,
CA-005,canonical_artifact,Units match canonical contract,artifact,,pass,,
CA-006,canonical_artifact,Monotonic or shape expectations hold,artifact,,warning,,
CA-007,canonical_artifact,Provenance metadata complete enough for review,artifact,,pass,,
CA-008,canonical_artifact,Printed versus PDF page references are distinguished,artifact,,pass,,
CA-009,canonical_artifact,Legacy unresolved items are separated from new estimations,artifact,,pass,,
RE-001,runtime_equivalence,Exact file equivalence,artifact,,pass,,
RE-002,runtime_equivalence,Numeric equivalence within approved tolerance,artifact,,not_applicable,,
RE-003,runtime_equivalence,Canonical config equivalence,artifact,,pass,,
RE-004,runtime_equivalence,Coverage gaps explicitly listed,plan,,pass,,
ER-001,external_reference,Reference source hash recorded,common_reference,,pass,,
ER-002,external_reference,Reference-to-canonical mapping documented,common_reference,,pass,,
ER-003,external_reference,Licensing or reuse constraints noted,common_reference,,warning,,
