artifact_id,artifact_stage,artifact_path,artifact_grain,source_ids,printed_pages,pdf_pages,page_reference_notes,table_or_section_labels,source_units,canonical_units,provenance_type,lineage_status,extraction_method,transform_method_id,transform_method_version,review_status,notes
frs_cfg_economic,build,plans/frs/config/plan_config.json,column_group,AV_2022,A-3,52,Confirmed crosswalk in valuation Appendix A.,Appendix A economic assumptions,percent,decimal,derived,confirmed,manual,config_mapping_v1,draft,unreviewed,"Covers discount-rate, investment-return, inflation, and payroll-growth fields."
frs_cfg_tiers,build,plans/frs/config/plan_config.json,column_group,AV_2022,B-5 to B-10,78 to 83,Confirmed Appendix B page crosswalk through the tier/provision range used in current notes.,Appendix B retirement, vesting, early retirement, COLA, and DROP rules,rule text,normalized_json,derived,confirmed,manual,config_mapping_v1,draft,unreviewed,"Covers Tier I and Tier II eligibility and early-retirement rules."
frs_cfg_valuation_inputs,build,plans/frs/config/plan_config.json,column_group,AV_2022|ACFR_2023,"18; C-4 to C-5; 155; 191; 205","23; 96 to 97; 157; 193; 207","Valuation class counts come from Appendix C. ACFR active-member and payroll support are on printed page 191 / PDF 193. Benefit-payment ratio comes from the GASB 67 deductions table on printed page 155 / PDF 157. The class outflow inputs now appear to match valuation Table 2-4 line 3 on printed page 18 / PDF 23. Statistical annual-benefit context is on printed page 205 / PDF 207.",Table 2-4 class disbursements; Appendix C membership tables; Active FRS Members by System/Class; Annual FRS Payroll by System/Class; Total Annual Benefits by System/Class; Statement of Changes in Fiduciary Net Position deductions,count; dollars,mixed,derived,partially_reconstructed,manual,config_mapping_v1,draft,unreviewed,"Includes active members, retiree population, payroll, and valuation-linked class values. Benefit-payment fields equal baseline class outflows multiplied by the ACFR plan-wide deductions ratio. The class outflows now have a strong provenance match to valuation Table 2-4 line 3, but it remains open whether those allocated disbursements are the right conceptual basis for first-year class benefit payments."
frs_regular_headcount,build,plans/frs/data/demographics/regular_headcount.csv,artifact,AV_2022,C-6,98,Confirmed Regular Class matrix location in Appendix C.,Table C-8 Regular Class member counts,count,count,derived,partially_reconstructed,manual,matrix_to_tidy_v1,draft,unreviewed,Printed age-by-service matrix reshaped to tidy rows.
frs_regular_salary,build,plans/frs/data/demographics/regular_salary.csv,artifact,AV_2022,C-6,98,Confirmed Regular Class matrix location in Appendix C.,Table C-8 Regular Class average salary matrix,dollars,dollars,derived,partially_reconstructed,manual,matrix_to_tidy_v1,draft,unreviewed,Source is a printed age-by-service average-salary matrix.
frs_retiree_distribution,build,plans/frs/data/demographics/retiree_distribution.csv,artifact,AV_2022,C-2,94,"Grouped retiree and disability totals are published directly in valuation Appendix C on printed page C-2 / PDF page 94. The runtime artifact then applies a legacy workbook smoothing rule to spread those grouped values across single ages.",Table C-1 regular and early retirement by age; Table C-2 disability retirement by age,count; thousands,dollars,derived,partially_reconstructed,manual,retiree_distribution_build_v1,draft,unreviewed,Grouped source values are now confirmed. The remaining unresolved step is the single-age smoothing rule used by the retained workbook.
frs_regular_retirement_rates,build,plans/frs/data/decrements/regular_retirement_rates.csv,artifact,AV_2022,A-5 to A-12,54 to 61,Retirement and disability material spans Appendix A pages A-5 through A-12.,Appendix A retirement assumptions,percent,decimal,derived,partially_reconstructed,manual,retirement_table_build_v1,draft,unreviewed,Current runtime table is simpler than the full source structure.
frs_regular_termination_rates,build,plans/frs/data/decrements/regular_termination_rates.csv,artifact,AV_2022,A-13 to A-21,62 to 70,Withdrawal assumptions begin at A-13 and continue through A-21.,Appendix A withdrawal assumptions,percent,decimal,derived,partially_reconstructed,manual,termination_table_build_v1,draft,unreviewed,Source includes gender-specific tables; current runtime artifact is not gender-specific.
frs_init_funding,build,plans/frs/data/funding/init_funding.csv,artifact,AV_2022|ACFR_2023,"17 to 20; 24; 31; 39; 155; 191","22 to 25; 29; 36; 44; 157; 193","This artifact mixes valuation funding tables with ACFR payroll and deductions support. The strongest direct anchors are Table 2-3, Table 2-4, Table 2-6, Table 3-2, Table 4-3, Table 4-11, ACFR payroll page 191 / PDF 193, and the GASB 67 deductions page 155 / PDF 157.",Funding exhibits; asset/liability sections; contribution-rate tables; payroll by system/class; plan-wide deductions,dollars; percent,mixed,derived,partially_reconstructed,manual,init_funding_build_v1,draft,unreviewed,"Mixed artifact. AAL, AVA, MVA, UAL, funded ratios, payroll totals, and contribution rates are strongly source-grounded; DB/DC payroll splits and some class allocations remain compatibility-oriented build fields."
frs_amort_layers,build,plans/frs/data/funding/amort_layers.csv,artifact,AV_2022,31,36,Confirmed valuation UAL-base table location.,Table 4-3 UAL bases by class,dollars; years,dollars,derived,partially_reconstructed,manual,amort_layers_build_v1,draft,unreviewed,One row per class/base after normalizing printed valuation tables.
