artifact_id,artifact_stage,artifact_path,artifact_grain,source_ids,printed_pages,pdf_pages,page_reference_notes,table_or_section_labels,source_units,canonical_units,provenance_type,lineage_status,extraction_method,transform_method_id,transform_method_version,review_status,notes
txtrs_av_all_headcount,build,plans/txtrs-av/data/demographics/all_headcount.csv,artifact,AV_2024,41,48,"Table 17 is on printed page 41 / PDF 48. Built directly from the valuation PDF by collapsing single-year service columns 1-4 into canonical yos=2 and mapping later service bands to canonical point values.",Table 17 Distribution of Active Members by Age and Service,count,count,derived,confirmed,pdf_text_parse,active-grid-band-to-point-v1,v1,draft,"Source-faithful AV transform. Validation against the reviewed txtrs artifact is equality-only, not source inheritance."
txtrs_av_all_salary,build,plans/txtrs-av/data/demographics/all_salary.csv,artifact,AV_2024,41,48,"Table 17 is on printed page 41 / PDF 48. Built directly from the valuation PDF using the same canonical grid as all_headcount, with count-weighted averaging across the early-service 1-4 columns for canonical yos=2.",Table 17 Distribution of Active Members by Age and Service,dollars,dollars,derived,confirmed,pdf_text_parse,active-grid-band-to-point-v1,v1,draft,"Source-faithful AV transform. Validation against the reviewed txtrs artifact is equality-only, not source inheritance."
txtrs_av_entrant_profile,build,plans/txtrs-av/data/demographics/entrant_profile.csv,artifact,AV_2024,69,76,"Appendix 2 new entrant profile is on printed page 69 / PDF 76. Built directly from the valuation PDF using the reviewed boundary-merge and adjacent-band-average rule.",Appendix 2 NEW ENTRANT PROFILE,count; dollars,mixed,derived,confirmed,pdf_text_parse,entrant-profile-boundary-merge-v1,v1,draft,"Source-faithful AV transform. Validation against the reviewed txtrs artifact is equality-only, not source inheritance."
txtrs_av_salary_growth,build,plans/txtrs-av/data/demographics/salary_growth.csv,artifact,AV_2024,63,70,"Appendix 2 salary increase table is on printed page 63 / PDF 70. Built directly from the valuation PDF by mapping source year-of-service 1..24 to canonical yos 0..23 and carrying the 25&up rate flat through the txtrs-av max_yos horizon.",Appendix 2 salary increase assumptions,percent,decimal,derived,confirmed,pdf_text_parse,salary_growth_build_v1,v1,draft,"Source-faithful AV normalization. The reviewed txtrs artifact carries the flat tail farther, but txtrs-av currently only needs the configured max_yos horizon."
txtrs_av_reduction_gft,build,plans/txtrs-av/data/decrements/reduction_gft.csv,artifact,AV_2024,47,54,"Appendix 1 early-retirement reduction table is on printed page 47 / PDF 54. Built directly from the valuation PDF by transcribing the published YOS-by-age matrix and mapping '30 or more' to canonical yos=30.",Appendix 1 grandfathered early-retirement reduction table,factor,factor,derived,confirmed,pdf_text_parse,reduction_table_build_v1,v1,draft,"Source-faithful AV transform."
txtrs_av_reduction_others,build,plans/txtrs-av/data/decrements/reduction_others.csv,artifact,AV_2024,47,54,"Appendix 1 early-retirement reduction table is on printed page 47 / PDF 54. Built directly from the valuation PDF by transcribing the published age-based reduction factors.",Appendix 1 non-grandfathered early-retirement reduction table,factor,factor,derived,confirmed,pdf_text_parse,reduction_table_build_v1,v1,draft,"Source-faithful AV transform."
txtrs_av_retirement_rates,build,plans/txtrs-av/data/decrements/all_retirement_rates.csv,artifact,AV_2024,62,69,"Built directly from the valuation PDF. Normal retirement rates are published by age and sex; early retirement rates are published by age. The current TRS-style runtime accepts one normal schedule, so the build uses the arithmetic average of male and female normal rates by age.",Appendix 2 rates of retirement,rate,rate,derived,confirmed,pdf_text_parse,retirement_schedule_build_v1,v1,draft,"Source-backed first cut. Ages below published retirement ages are zero-filled; 65-69 and 70-74 are expanded to single years; 75+ is carried through the txtrs-av max_age horizon."
txtrs_av_termination_rates,build,plans/txtrs-av/data/decrements/all_termination_rates.csv,artifact,AV_2024,61,68,"Built directly from the valuation PDF preserving the published select-and-ultimate structure. Service years 1-10 are mapped to runtime lookup values 0-9; post-select rates are stored by years_from_nr with an explicit runtime row for 0 years from normal retirement at rate 0.",Appendix 2 rates of termination,rate,rate,derived,confirmed,pdf_text_parse,termination_lookup_build_v1,v1,draft,"Source-backed first cut. Runtime keeps the published years-from-normal-retirement structure rather than pre-expanding by tier."
txtrs_av_init_funding,build,plans/txtrs-av/data/funding/init_funding.csv,artifact,AV_2024,17;20,24;27,"Built directly from the valuation PDF. Table 2 supplies projected payroll, AAL, AVA, and admin-expense rate. Table 4 supplies market value of assets and the remaining AVA deferral after the 2024 valuation.",Table 2 Summary of Cost Items; Table 4 Development of Actuarial Value of Assets,dollars; percent,mixed,derived,confirmed,pdf_text_parse,funding_seed_from_av_v1,v1,draft,"Source-strong first-cut funding seed. All opening values are valuation-derived. The only runtime-specific transform is mapping the remaining 2023 AVA deferral into defer_y2_legacy because the model stores gain/loss smoothing in bucket form rather than as the published aggregate remaining balance."
txtrs_av_retiree_distribution,build,plans/txtrs-av/data/demographics/retiree_distribution.csv,artifact,AV_2024,42,49,"Table 18 is on printed page 42 / PDF 49. Built directly from the valuation PDF by lumping the five pre-retirement bands (Up to 35 through 55-59) into runtime ages 55-59, spreading each later 5-year band evenly across its ages, and spreading the published 100 & up band evenly across runtime ages 100-120.",Table 18 Distribution of Life Annuities by Age,count; dollars,mixed,derived,confirmed,pdf_text_parse,retiree_distribution_av18_band_spread_v1,v1,draft,"Source-faithful AV transform. Scope is life annuities only (475,891 retirees). Disabled annuities (Table 19, 12,030) and survivor annuities (18,291) excluded from this first cut as a documented modeling simplification — see issue #71."
