category,item,description,runtime_location,required,status,source_type,source_doc,printed_page,pdf_page,table_or_section,method_id,notes
plan_meta,plan_name,Plan identifier,plan_config.json:plan_name,required,have,runtime-only,,,,,,
plan_meta,plan_description,Human-readable plan name,plan_config.json:plan_description,required,have,runtime-only,,,,,,
plan_meta,data_dir,Path to plan data directory,plan_config.json:data.data_dir,required,have,runtime-only,,,,,,
economic,dr_current,Discount rate for current/legacy members,plan_config.json:economic.dr_current,required,have,AV-direct,AV_2024,60,67,"Appendix 2 §1 Investment Return Rate",,"Verified 2026-05-01: ""Investment Return Rate 7.00% per annum, compounded annually, composed of an assumed 2.30% inflation rate and a 4.70% real rate of return, net of investment expenses."""
economic,dr_new,Discount rate for new entrants,plan_config.json:economic.dr_new,required,have,AV-direct,AV_2024,60,67,"Appendix 2 §1 Investment Return Rate",,"Verified 2026-05-01: AV cites a single 7.00% investment return rate; we apply the same rate to new entrants as a modeling default consistent with US public-pension convention."
economic,dr_old,Legacy discount rate,plan_config.json:economic.dr_old,required,have,AV-direct,AV_2024,60,67,"Appendix 2 §1 Investment Return Rate",,"Verified 2026-05-01: 7.00% AV investment return rate. Used by the cashflow-estimation pathway anchored to the published-rate quantity."
economic,payroll_growth,Long-term payroll growth assumption,plan_config.json:economic.payroll_growth,required,have,AV-direct,AV_2024,66,73,"Appendix 2 §PAYROLL GROWTH FOR FUNDING OF UNFUNDED ACTUARIAL ACCRUED LIABILITY",,"Verified 2026-05-01: ""Total payroll is expected to grow at 2.90% per year. The total general wage increase assumption of 2.90% is made up of an inflation rate of 2.30% plus a 0.60% real wage growth."" Distinct from individual-member salary growth tail (2.95% = 2.30% inflation + 0.65% productivity, p. 63 / PDF 70)."
economic,pop_growth,Population growth assumption,plan_config.json:economic.pop_growth,optional,N/A,runtime-only,,,,,,Not used in txtrs-av config
economic,inflation,Long-term inflation assumption,plan_config.json:economic.inflation,required,have,AV-direct,AV_2024,60,67,"Appendix 2 §1 Investment Return Rate",,"Verified 2026-05-01: AV §1 cites ""an assumed 2.30% inflation rate"" as a component of the 7.00% return. Same 2.30% inflation appears in §3 Rates of Salary Increase and in the PAYROLL GROWTH section."
economic,model_return,Modeled investment return assumption,plan_config.json:economic.model_return,required,have,AV-direct,AV_2024,60,67,"Appendix 2 §1 Investment Return Rate",,"Verified 2026-05-01: 7.00% AV investment return rate. Equal to dr_current by US public-pension convention."
ranges,min_age,Minimum age in cohort grid,plan_config.json:ranges.min_age,required,have,runtime-only,,,,,,
ranges,max_age,Maximum age in cohort grid,plan_config.json:ranges.max_age,required,have,runtime-only,,,,,,
ranges,start_year,First projection year (AV valuation year),plan_config.json:ranges.start_year,required,have,AV-direct,AV_2024,,,Title page,,2024
ranges,new_year,First year for new-entrant tier,plan_config.json:ranges.new_year,required,have,runtime-only,,,,,,
ranges,min_entry_year,Earliest entry year represented,plan_config.json:ranges.min_entry_year,required,have,runtime-only,,,,,,
ranges,model_period,Number of projection years,plan_config.json:ranges.model_period,required,have,runtime-only,,,,,,
ranges,max_yos,Maximum years of service in grid,plan_config.json:ranges.max_yos,required,have,runtime-only,,,,,,
