artifact_id,artifact_stage,artifact_path,artifact_grain,source_ids,printed_pages,pdf_pages,page_reference_notes,table_or_section_labels,source_units,canonical_units,provenance_type,lineage_status,extraction_method,transform_method_id,transform_method_version,review_status,notes
txtrs_cfg_economic,build,plans/txtrs/config/plan_config.json,column_group,AV_2024,"60; 63; 66","67; 70; 73","Investment return and active-assumption overview are on Appendix 2 printed page 60 / PDF 67. Salary increase assumptions are on printed page 63 / PDF 70. Payroll growth for UAAL funding is on printed page 66 / PDF 73.",Economic assumptions,percent,decimal,derived,confirmed,manual,config_mapping_v1,draft,unreviewed,"Covers discount-rate, investment-return, inflation, salary-growth, and payroll-growth fields."
txtrs_cfg_benefit_rules,build,plans/txtrs/config/plan_config.json,column_group,AV_2024,Appendix 1,,Appendix 1 is confirmed as the benefit-rule source area; detailed printed/PDF page capture for each rule block is still pending.,Plan provisions: FAS; multiplier; retirement eligibility; reductions,rule text,normalized_json,derived,confirmed,manual,config_mapping_v1,draft,unreviewed,"Covers cohort rules, FAS years, minimum benefit, and reduction logic."
txtrs_cfg_valuation_inputs,build,plans/txtrs/config/plan_config.json,column_group,AV_2024|ACFR_2023,"17; 26; 38 to 39","24; 33; 45 to 46","Participant counts and gross normal cost come from Table 2 on printed page 17 / PDF 24. Benefit-payment anchor is directly visible in Table 8a on printed page 26 / PDF 33. Tables 15a and 15b on printed pages 38 to 39 / PDF 45 to 46 provide statistical cross-checks. ACFR membership counts remain secondary cross-checks.",Participant counts and funding results,count; dollars,mixed,derived,partially_reconstructed,manual,config_mapping_v1,draft,unreviewed,"Current runtime valuation_inputs appear to be valuation-scoped: active members not in DROP = 970,872; retired members and beneficiaries = 508,701; benefit payments = 15,258,219,146. ACFR membership counts remain useful as cross-checks, not primary source for these fields."
txtrs_all_headcount,build,plans/txtrs/data/demographics/all_headcount.csv,artifact,AV_2024,41,48,Confirmed Table 17 location. Direct PDF extraction shows separate early single-year service columns that are collapsed into canonical `yos = 2` rows before melting to long form.,Table 17 Distribution of Active Members by Age and Service,count,count,derived,partially_reconstructed,manual,matrix_to_tidy_v1,draft,unreviewed,The valuation publishes a banded age-by-service count matrix. Runtime uses representative ages and YOS values in a canonical long format, and the early-service collapse rule is now partially reconstructed.
txtrs_all_salary,build,plans/txtrs/data/demographics/all_salary.csv,artifact,AV_2024,41,48,Confirmed Table 17 location. Direct PDF extraction shows that collapsed early-service salary cells are count-weighted averages of the underlying valuation salary cells.,Table 17 Distribution of Active Members by Age and Service,dollars,dollars,derived,partially_reconstructed,manual,matrix_to_tidy_v1,draft,unreviewed,Average compensation is published in the same banded matrix as headcount. Runtime uses the same band-to-point canonicalization rule, with weighted averaging for collapsed early-service salary cells.
txtrs_salary_growth,build,plans/txtrs/data/demographics/salary_growth.csv,artifact,AV_2024,63,70,Confirmed Appendix 2 salary-increase page.,Salary increase assumptions,percent,decimal,derived,partially_reconstructed,manual,salary_growth_build_v1,draft,unreviewed,Normalized from inflation plus service-related merit assumptions.
txtrs_entrant_profile,build,plans/txtrs/data/demographics/entrant_profile.csv,artifact,AV_2024,69,76,Confirmed Appendix 2 new-entrant-profile page.,Appendix 2 NEW ENTRANT PROFILE,count; dollars,mixed,derived,partially_reconstructed,manual,entrant_profile_build_v1,draft,unreviewed,The valuation publishes a banded entrant-profile summary table. The current runtime artifact is more granular, so a reviewed transformation rule is still needed.
txtrs_retiree_distribution,build,plans/txtrs/data/demographics/retiree_distribution.csv,artifact,AV_2024|ACFR_2023,"39; 44","46; 51","Table 15b provides retiree counts and annual annuity totals. Table 20 provides roll-forward retiree-count context. Additional ACFR retiree context may still help, but the valuation is primary.",Retiree counts and benefit amounts,count; dollars,dollars,derived,partially_reconstructed,manual,retiree_distribution_build_v1,draft,unreviewed,Canonical distribution artifact derived from summarized retiree information.
txtrs_retirement_rates,build,plans/txtrs/data/decrements/retirement_rates.csv,artifact,AV_2024,62 to 63,69 to 70,Retirement-rate material spans the end of printed page 62 and continues on printed page 63 in Appendix 2.,Appendix 2 retirement assumptions,percent,decimal,derived,partially_reconstructed,manual,retirement_table_build_v1,draft,unreviewed,Runtime table simplifies richer cohort-specific source logic.
txtrs_termination_rates,build,plans/txtrs/data/decrements/termination_rates.csv,artifact,AV_2024,61,68,Confirmed Appendix 2 termination page.,Appendix 2 termination assumptions,percent,decimal,derived,partially_reconstructed,manual,termination_table_build_v1,draft,unreviewed,Exact lookup-structure mapping still needs confirmation.
