category,item,description,runtime_location,required,status,source_type,source_doc,printed_page,pdf_page,table_or_section,method_id,notes
plan_meta,plan_name,Plan identifier,plan_config.json:plan_name,required,,,,,,,,
plan_meta,plan_description,Human-readable plan name,plan_config.json:plan_description,required,,,,,,,,
plan_meta,data_dir,Path to plan data directory,plan_config.json:data.data_dir,required,,,runtime-only,,,,,
economic,dr_current,Discount rate for current/legacy members,plan_config.json:economic.dr_current,required,,,,,,,,
economic,dr_new,Discount rate for new entrants,plan_config.json:economic.dr_new,required,,,,,,,,
economic,dr_old,Legacy discount rate (often equal to dr_current),plan_config.json:economic.dr_old,required,,,,,,,,
economic,payroll_growth,Long-term payroll growth assumption,plan_config.json:economic.payroll_growth,required,,,,,,,,
economic,pop_growth,Population growth assumption,plan_config.json:economic.pop_growth,optional,,,,,,,,
economic,inflation,Long-term inflation assumption,plan_config.json:economic.inflation,required,,,,,,,,
economic,model_return,Modeled investment return assumption,plan_config.json:economic.model_return,required,,,,,,,,
ranges,min_age,Minimum age in cohort grid,plan_config.json:ranges.min_age,required,,,runtime-only,,,,,
ranges,max_age,Maximum age in cohort grid,plan_config.json:ranges.max_age,required,,,runtime-only,,,,,
ranges,start_year,First projection year (typically AV valuation year),plan_config.json:ranges.start_year,required,,,,,,,,
ranges,new_year,First year for new-entrant tier,plan_config.json:ranges.new_year,required,,,runtime-only,,,,,
ranges,min_entry_year,Earliest entry year represented,plan_config.json:ranges.min_entry_year,required,,,runtime-only,,,,,
ranges,model_period,Number of projection years,plan_config.json:ranges.model_period,required,,,runtime-only,,,,,
ranges,max_yos,Maximum years of service in grid,plan_config.json:ranges.max_yos,required,,,runtime-only,,,,,
benefit,db_ee_cont_rate,Employee contribution rate (DB),plan_config.json:benefit.db_ee_cont_rate,required,,,,,,,,
benefit,db_ee_interest_rate,Interest rate credited on employee contributions,plan_config.json:benefit.db_ee_interest_rate,required,,,,,,,,
benefit,fas_years_default,FAS averaging years (non-grandfathered),plan_config.json:benefit.fas_years_default,required,,,,,,,,
